,1200,1250,1300,1350,1400,1450,1500,1550,1600,1650,1700,1750,1800,1850
850,"374.253","386.32","398.387","410.443","422.521","434.588","446.644","458.711","470.767","482.834","494.901","506.957","519.035","531.102"
1100,"424.347","437.745","451.132","464.508","477.895","491.282","504.669","518.056","531.443","544.83","558.217","571.593","584.991","598.378"
1350,"474.441","489.148","503.866","518.573","533.28","547.987","562.694","577.412","592.108","606.815","621.533","636.229","650.947","665.654"
1600,"524.535","540.573","556.6","572.627","588.665","604.692","620.719","636.746","652.784","668.811","684.838","700.876","716.903","732.93"
1850,"574.629","591.987","609.334","626.692","644.05","661.397","678.744","696.091","713.449","730.807","748.154","765.512","782.859","800.206"
2100,"624.723","643.401","662.079","680.757","699.424","718.091","736.78","755.447","774.114","792.792","811.47","830.148","848.815","867.482"
2350,"674.817","694.815","714.813","734.811","754.809","774.796","794.794","814.792","834.79","854.788","874.786","894.784","914.782","934.945"
2600,"724.911","746.24","767.547","788.876","810.183","831.512","852.819","874.148","895.455","916.784","938.091","959.42","980.727","1002.056"
2850,"775.005","797.643","820.292","842.93","865.579","888.217","910.855","933.493","956.131","978.769","1001.407","1024.045","1046.694","1069.332"
3100,"825.099","849.068","873.037","896.984","920.953","944.911","968.88","992.838","1016.796","1040.765","1064.723","1088.681","1112.639","1136.608"
